MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71734362,1,20160212,1820,0,1,1,2,2,55,38.40049,-82.711548,1,4,6,1,1,3,5,010-US-0060  -,1
71757952,1,20160403,738,0,0,0,1,1,35,38.3241,-82.718918,9,2,3,1,1,2,2,010-KY-0966  -,1
71777124,1,20160515,757,0,0,0,1,1,55,38.106079,-84.263702,9,2,6,1,1,2,2,009-KY-1678  -,1
71779008,1,20160516,1545,0,0,0,1,1,55,38.08326,-84.288498,9,2,6,1,1,3,2,009-KY-0057  -,1
71873891,1,20161017,1427,0,1,1,2,2,55,38.94101,-84.675941,4,5,6,1,1,2,2,008-US-0042  -,1
71745140,1,20160312,420,0,0,0,1,1,45,39.009972,-84.647202,9,4,6,1,1,2,5,008-KY-0842  -,1
71765207,1,20160416,1305,0,0,1,3,3,45,38.94669,-84.825844,3,2,1,1,1,2,2,008-KY-0338  -,0
71782486,1,20160526,232,0,0,0,1,1,45,38.984718,-84.687172,9,2,3,1,1,2,6,008-KY-0237  -,1
71886211,1,20161031,1253,0,0,1,1,1,55,39.126099,-84.716751,9,2,6,1,1,2,2,008-KY-0008  -,1
71867512,1,20161001,1635,0,0,2,1,1,70,38.931549,-84.630898,9,8,6,1,1,2,2,008- I-0075  -,1
71764842,1,20160418,1620,0,0,0,1,1,55,38.156219,-83.766289,9,2,3,1,1,2,2,006-KY-0036  -,1
71870335,1,20160920,901,0,0,0,2,2,55,37.022041,-86.050034,3,2,6,1,1,2,2,005-US-0068  -,1
71803495,1,20160628,1432,0,0,0,1,1,55,37.075569,-85.890427,9,2,4,1,1,2,2,005-US-0031 E-,1
71903776,1,20161203,1719,0,1,0,2,1,55,37.04092,-85.901581,9,2,6,1,1,2,6,005-US-0031 E-,0
71800832,1,20160627,1505,0,1,2,2,2,45,36.973759,-85.949211,1,2,1,1,5,3,2,005-KY-2207  -,0
71836192,1,20160828,1907,0,0,0,1,1,55,36.963612,-85.821091,9,2,6,1,5,6,3,005-KY-1307  -,1
71722778,1,20160104,1001,0,0,0,2,2,55,36.906761,-85.761269,3,2,6,1,1,2,2,005-KY-0090  -,0
